% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
1.921	2	2	1	0.499845	0
1.921	3	3	1	0.499845	0
1.922	1	4	2	1.76422e+06	0
1.922	2	5	2	1.76422e+06	0
1.922	3	6	2	1.76422e+06	0
1.961	1	1	1	0.499845	0
1.961	2	2	1	0.499845	0
1.961	3	3	1	0.499845	0
1.962	1	4	2	1.76422e+06	0
1.962	2	5	2	1.76422e+06	0
1.962	3	6	2	1.76422e+06	0
2.001	1	1	1	0.499845	0
2.001	2	2	1	0.499845	0
2.001	3	3	1	0.499845	0
2.002	1	4	2	1.76422e+06	0
2.002	2	5	2	1.76422e+06	0
2.002	3	6	2	1.76422e+06	0
2.041	1	1	1	0.499845	0
2.041	2	2	1	0.499845	0
2.041	3	3	1	0.499845	0
2.042	1	4	2	1.76422e+06	0
2.042	2	5	2	1.76422e+06	0
2.042	3	6	2	1.76422e+06	0
2.081	1	1	1	0.499845	0
2.081	2	2	1	0.499845	0
2.081	3	3	1	0.499845	0
2.082	1	4	2	1.76422e+06	0
2.082	2	5	2	1.76422e+06	0
2.082	3	6	2	1.76422e+06	0
2.121	1	1	1	0.499845	0
2.121	2	2	1	0.499845	0
2.121	3	3	1	0.499845	0
2.122	1	4	2	1.76422e+06	0
2.122	2	5	2	1.76422e+06	0
2.122	3	6	2	1.76422e+06	0
2.161	1	1	1	0.499845	0
2.161	2	2	1	0.499845	0
2.161	3	3	1	0.499845	0
2.162	1	4	2	1.76422e+06	0
2.162	2	5	2	1.76422e+06	0
2.162	3	6	2	1.76422e+06	0
2.201	1	1	1	0.499845	0
2.201	2	2	1	0.499845	0
2.201	3	3	1	0.499845	0
2.202	1	4	2	1.76422e+06	0
2.202	2	5	2	1.76422e+06	0
2.202	3	6	2	1.76422e+06	0
2.241	1	1	1	0.499845	0
2.241	2	2	1	0.499845	0
2.241	3	3	1	0.499845	0
2.242	1	4	2	1.76422e+06	0
2.242	2	5	2	1.76422e+06	0
2.242	3	6	2	1.76422e+06	0
2.281	1	1	1	0.499845	0
2.281	2	2	1	0.499845	0
2.281	3	3	1	0.499845	0
2.282	1	4	2	1.76422e+06	0
2.282	2	5	2	1.76422e+06	0
2.282	3	6	2	1.76422e+06	0
2.321	1	1	1	0.499845	0
2.321	2	2	1	0.499845	0
2.321	3	3	1	0.499845	0
2.322	1	4	2	1.76422e+06	0
2.322	2	5	2	1.76422e+06	0
2.322	3	6	2	1.76422e+06	0
2.361	1	1	1	0.499845	0
2.361	2	2	1	0.499845	0
2.361	3	3	1	0.499845	0
2.362	1	4	2	1.76422e+06	0
2.362	2	5	2	1.76422e+06	0
2.362	3	6	2	1.76422e+06	0
2.401	1	1	1	0.499845	0
2.401	2	2	1	0.499845	0
2.401	3	3	1	0.499845	0
2.402	1	4	2	1.76422e+06	0
2.402	2	5	2	1.76422e+06	0
2.402	3	6	2	1.76422e+06	0
2.441	1	1	1	0.499845	0
2.441	2	2	1	0.499845	0
2.441	3	3	1	0.499845	0
2.442	1	4	2	1.76422e+06	0
2.442	2	5	2	1.76422e+06	0
2.442	3	6	2	1.76422e+06	0
2.481	1	1	1	0.499845	0
2.481	2	2	1	0.499845	0
2.481	3	3	1	0.499845	0
2.482	1	4	2	1.76422e+06	0
2.482	2	5	2	1.76422e+06	0
2.482	3	6	2	1.76422e+06	0
