% time	cellId	IMSI	RNTI	rsrp	sinr	ComponentCarrierId
0.0272143	3	3	1	1.26643e-12	0.499937	0
0.0272143	3	6	2	0.00333333	3.94601e+09	0
0.0282143	1	1	1	1.26635e-12	0.499891	0
0.0282143	1	4	2	0.00333333	3.94608e+09	0
0.0282143	2	2	1	1.26635e-12	0.499891	0
0.0282143	2	5	2	0.00333333	3.94608e+09	0
0.0282143	3	3	1	1.26643e-12	0.499937	0
0.0282143	3	6	2	0.00333333	3.94601e+09	0
0.0292143	1	1	1	1.26635e-12	0.499891	0
0.0292143	1	4	2	0.00333333	3.94608e+09	0
0.0292143	2	2	1	1.26635e-12	0.499891	0
0.0292143	2	5	2	0.00333333	3.94608e+09	0
0.0292143	3	3	1	1.26643e-12	0.499937	0
0.0292143	3	6	2	0.00333333	3.94601e+09	0
0.0302143	1	1	1	1.26635e-12	0.499891	0
0.0302143	1	4	2	0.00333333	3.94607e+09	0
0.0302143	2	2	1	1.26635e-12	0.499891	0
0.0302143	2	5	2	0.00333333	3.94608e+09	0
0.0302143	3	3	1	1.26643e-12	0.499937	0
0.0302143	3	6	2	0.00333333	3.94601e+09	0
0.0312143	1	1	1	1.26635e-12	0.499891	0
0.0312143	1	4	2	0.00333333	3.94607e+09	0
0.0312143	2	2	1	1.26635e-12	0.499891	0
0.0312143	2	5	2	0.00333333	3.94608e+09	0
0.0312143	3	3	1	1.26643e-12	0.499937	0
0.0312143	3	6	2	0.00333333	3.94601e+09	0
0.0322143	1	1	1	1.26635e-12	0.499891	0
0.0322143	1	4	2	0.00333333	3.94607e+09	0
0.0322143	2	2	1	1.26635e-12	0.499891	0
0.0322143	2	5	2	0.00333333	3.94608e+09	0
0.0322143	3	3	1	1.26643e-12	0.499937	0
0.0322143	3	6	2	0.00333333	3.94601e+09	0
0.0332143	1	1	1	1.26635e-12	0.499891	0
0.0332143	1	4	2	0.00333333	3.94607e+09	0
0.0332143	2	2	1	1.26635e-12	0.499891	0
0.0332143	2	5	2	0.00333333	3.94608e+09	0
0.0332143	3	3	1	1.26643e-12	0.499937	0
0.0332143	3	6	2	0.00333333	3.94602e+09	0
0.0342143	1	1	1	1.26635e-12	0.499891	0
0.0342143	1	4	2	0.00333333	3.94607e+09	0
0.0342143	2	2	1	1.26635e-12	0.499891	0
0.0342143	2	5	2	0.00333333	3.94608e+09	0
0.0342143	3	3	1	1.26643e-12	0.499937	0
0.0342143	3	6	2	0.00333333	3.94602e+09	0
0.0352143	1	1	1	1.26635e-12	0.499891	0
0.0352143	1	4	2	0.00333333	3.94606e+09	0
0.0352143	2	2	1	1.26635e-12	0.499891	0
0.0352143	2	5	2	0.00333333	3.94608e+09	0
0.0352143	3	3	1	1.26643e-12	0.499937	0
0.0352143	3	6	2	0.00333333	3.94602e+09	0
0.0362143	1	1	1	1.26635e-12	0.499891	0
0.0362143	1	4	2	0.00333333	3.94606e+09	0
0.0362143	2	2	1	1.26635e-12	0.499891	0
0.0362143	2	5	2	0.00333333	3.94608e+09	0
0.0362143	3	3	1	1.26643e-12	0.499937	0
0.0362143	3	6	2	0.00333333	3.94602e+09	0
0.0372143	1	1	1	1.26635e-12	0.499891	0
0.0372143	1	4	2	0.00333333	3.94606e+09	0
0.0372143	2	2	1	1.26635e-12	0.499891	0
0.0372143	2	5	2	0.00333333	3.94608e+09	0
0.0372143	3	3	1	1.26643e-12	0.499937	0
0.0372143	3	6	2	0.00333333	3.94602e+09	0
0.0382143	1	1	1	1.26635e-12	0.499891	0
0.0382143	1	4	2	0.00333333	3.94606e+09	0
0.0382143	2	2	1	1.26635e-12	0.499891	0
0.0382143	2	5	2	0.00333333	3.94608e+09	0
0.0382143	3	3	1	1.26643e-12	0.499937	0
0.0382143	3	6	2	0.00333333	3.94603e+09	0
0.0392143	1	1	1	1.26635e-12	0.499891	0
0.0392143	1	4	2	0.00333333	3.94606e+09	0
0.0392143	2	2	1	1.26635e-12	0.499891	0
0.0392143	2	5	2	0.00333333	3.94608e+09	0
0.0392143	3	3	1	1.26643e-12	0.499937	0
0.0392143	3	6	2	0.00333333	3.94603e+09	0
0.0402143	1	1	1	1.26635e-12	0.499891	0
0.0402143	1	4	2	0.00333333	3.94606e+09	0
0.0402143	2	2	1	1.26635e-12	0.499891	0
0.0402143	2	5	2	0.00333333	3.94608e+09	0
0.0402143	3	3	1	1.26643e-12	0.499937	0
0.0402143	3	6	2	0.00333333	3.94603e+09	0
0.0412143	1	1	1	1.26635e-12	0.499891	0
0.0412143	1	4	2	0.00333333	3.94605e+09	0
0.0412143	2	2	1	1.26635e-12	0.499891	0
0.0412143	2	5	2	0.00333333	3.94608e+09	0
0.0412143	3	3	1	1.26643e-12	0.499937	0
0.0412143	3	6	2	0.00333333	3.94603e+09	0
0.0422143	1	1	1	1.26635e-12	0.499891	0
0.0422143	1	4	2	0.00333333	3.94605e+09	0
0.0422143	2	2	1	1.26635e-12	0.499891	0
0.0422143	2	5	2	0.00333333	3.94608e+09	0
0.0422143	3	3	1	1.26643e-12	0.499937	0
0.0422143	3	6	2	0.00333333	3.94603e+09	0
0.0432143	1	1	1	1.26635e-12	0.499891	0
0.0432143	1	4	2	0.00333333	3.94605e+09	0
