% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
2.361	2	2	1	0.499845	0
2.361	3	3	1	0.499845	0
2.363	1	4	3	1.76422e+06	0
2.363	2	5	3	1.76422e+06	0
2.363	3	6	3	1.76422e+06	0
2.401	1	1	1	0.499845	0
2.401	2	2	1	0.499845	0
2.401	3	3	1	0.499845	0
2.403	1	4	3	1.76422e+06	0
2.403	2	5	3	1.76422e+06	0
2.403	3	6	3	1.76422e+06	0
2.441	1	1	1	0.499845	0
2.441	2	2	1	0.499845	0
2.441	3	3	1	0.499845	0
2.443	1	4	3	1.76422e+06	0
2.443	2	5	3	1.76422e+06	0
2.443	3	6	3	1.76422e+06	0
2.481	1	1	1	0.499845	0
2.481	2	2	1	0.499845	0
2.481	3	3	1	0.499845	0
2.483	1	4	3	1.76422e+06	0
2.483	2	5	3	1.76422e+06	0
2.483	3	6	3	1.76422e+06	0
