% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
0.095	2	2	10	6	1	28	373	0
0.095	2	5	10	6	3	28	373	0
0.095	3	3	10	6	1	28	373	0
0.095	3	6	10	6	3	28	373	0
0.096	1	1	10	7	1	28	373	0
0.096	1	4	10	7	3	28	373	0
0.096	2	2	10	7	1	28	373	0
0.096	2	5	10	7	3	28	373	0
0.096	3	3	10	7	1	28	373	0
0.096	3	6	10	7	3	28	373	0
0.097	1	4	10	8	3	28	373	0
0.097	2	2	10	8	1	28	373	0
0.097	2	5	10	8	3	28	373	0
0.097	3	3	10	8	1	28	373	0
0.097	3	6	10	8	3	28	373	0
0.098	1	1	10	9	1	28	373	0
0.098	1	4	10	9	3	28	373	0
0.098	2	2	10	9	1	28	373	0
0.098	2	5	10	9	3	28	373	0
0.098	3	3	10	9	1	28	373	0
0.098	3	6	10	9	3	28	373	0
0.099	1	1	10	10	1	28	373	0
0.099	1	4	10	10	3	28	373	0
0.099	2	2	10	10	1	28	373	0
0.099	2	5	10	10	3	28	373	0
0.099	3	3	10	10	1	28	373	0
0.099	3	6	10	10	3	28	373	0
0.1	1	1	11	1	1	28	373	0
0.1	1	4	11	1	3	28	373	0
0.1	2	2	11	1	1	28	373	0
0.1	2	5	11	1	3	28	373	0
0.1	3	3	11	1	1	28	373	0
0.1	3	6	11	1	3	28	373	0
0.101	1	4	11	2	3	28	373	0
0.101	2	2	11	2	1	28	373	0
0.101	2	5	11	2	3	28	373	0
0.101	3	3	11	2	1	28	373	0
0.101	3	6	11	2	3	28	373	0
0.102	1	1	11	3	1	28	373	0
0.102	1	4	11	3	3	28	373	0
0.102	2	5	11	3	3	28	373	0
0.102	3	3	11	3	1	28	373	0
0.102	3	6	11	3	3	28	373	0
0.103	1	1	11	4	1	28	373	0
0.103	1	4	11	4	3	28	373	0
0.103	2	2	11	4	1	28	373	0
0.103	2	5	11	4	3	28	373	0
0.103	3	3	11	4	1	28	373	0
0.103	3	6	11	4	3	28	373	0
0.104	1	1	11	5	1	28	373	0
0.104	1	4	11	5	3	28	373	0
0.104	2	2	11	5	1	28	373	0
0.104	2	5	11	5	3	28	373	0
0.104	3	3	11	5	1	28	373	0
0.104	3	6	11	5	3	28	373	0
0.105	1	1	11	6	1	28	373	0
0.105	1	4	11	6	3	28	373	0
0.105	2	2	11	6	1	28	373	0
0.105	2	5	11	6	3	28	373	0
0.105	3	3	11	6	1	28	373	0
0.105	3	6	11	6	3	28	373	0
0.106	1	1	11	7	1	28	373	0
0.106	1	4	11	7	3	28	373	0
0.106	2	2	11	7	1	28	373	0
0.106	2	5	11	7	3	28	373	0
0.106	3	3	11	7	1	28	373	0
0.106	3	6	11	7	3	28	373	0
0.107	1	1	11	8	1	28	373	0
0.107	1	4	11	8	3	28	373	0
0.107	2	2	11	8	1	28	373	0
0.107	2	5	11	8	3	28	373	0
0.107	3	3	11	8	1	28	373	0
0.107	3	6	11	8	3	28	373	0
0.108	1	1	11	9	1	28	373	0
0.108	1	4	11	9	3	28	373	0
0.108	2	2	11	9	1	28	373	0
0.108	2	5	11	9	3	28	373	0
0.108	3	3	11	9	1	28	373	0
0.108	3	6	11	9	3	28	373	0
0.109	1	1	11	10	1	28	373	0
0.109	1	4	11	10	3	28	373	0
0.109	2	2	11	10	1	28	373	0
0.109	2	5	11	10	3	28	373	0
0.109	3	3	11	10	1	28	373	0
0.109	3	6	11	10	3	28	373	0
0.11	1	1	12	1	1	28	373	0
0.11	1	4	12	1	3	28	373	0
0.11	2	2	12	1	1	28	373	0
0.11	2	5	12	1	3	28	373	0
0.11	3	3	12	1	1	28	373	0
0.11	3	6	12	1	3	28	373	0
0.111	1	1	12	2	1	28	373	0
0.111	1	4	12	2	3	28	373	0
0.111	2	2	12	2	1	28	373	0
0.111	2	5	12	2	3	28	373	0
0.111	3	3	12	2	1	28	373	0
0.111	3	6	12	2	3	28	373	0
0.112	1	1	12	3	1	28	373	0
0.112	1	4	12	3	3	28	373	0
0.112	2	2	12	3	1	28	373	0
0.112	2	5	12	3	3	28	373	0
0.112	3	3	12	3	1	28	373	0
0.112	3	6	12	3	3	28	373	0
0.113	1	1	12	4	1	28	373	0
0.113	1	4	12	4	3	28	373	0
0.113	2	2	12	4	1	28	373	0
0.113	2	5	12	4	3	28	373	0
0.113	3	3	12	4	1	28	373	0
0.113	3	6	12	4	3	28	373	0
0.114	1	1	12	5	1	28	373	0
0.114	1	4	12	5	3	28	373	0
0.114	2	2	12	5	1	28	373	0
0.114	2	5	12	5	3	28	373	0
0.114	3	3	12	5	1	28	373	0
0.114	3	6	12	5	3	28	373	0
0.115	1	1	12	6	1	28	373	0
0.115	1	4	12	6	3	28	373	0
0.115	2	2	12	6	1	28	373	0
0.115	2	5	12	6	3	28	373	0
0.115	3	3	12	6	1	28	373	0
0.115	3	6	12	6	3	28	373	0
0.116	1	1	12	7	1	28	373	0
0.116	1	4	12	7	3	28	373	0
0.116	2	2	12	7	1	28	373	0
0.116	2	5	12	7	3	28	373	0
0.116	3	3	12	7	1	28	373	0
0.116	3	6	12	7	3	28	373	0
0.117	1	1	12	8	1	28	373	0
0.117	1	4	12	8	3	28	373	0
0.117	2	2	12	8	1	28	373	0
0.117	2	5	12	8	3	28	373	0
0.117	3	3	12	8	1	28	373	0
0.117	3	6	12	8	3	28	373	0
0.118	1	1	12	9	1	28	373	0
0.118	1	4	12	9	3	28	373	0
0.118	2	2	12	9	1	28	373	0
0.118	2	5	12	9	3	28	373	0
0.118	3	3	12	9	1	28	373	0
0.118	3	6	12	9	3	28	373	0
